match_id,tournament_year,game_type,stage_raw,stage,is_knockout,match_date,country_a,country_b,country_a_code,country_b_code,goals_a_90,goals_b_90,outcome_90,goals_a_after_extra_time,goals_b_after_extra_time,penalties_a,penalties_b,extra_time,score_details,venue,rank_a,rank_b,ranking_points_a,ranking_points_b,rank_diff,ranking_points_diff,confederation_a,confederation_b,same_confederation
933,2022,championship,Group F,group,false,2022-11-27,Belgium,Morocco,BEL,MAR,0,2,B_WIN,,,,,false,(0-0),"Al Thumama Stadium, Doha",2,24,1827,1551.88,22,275.12,UEFA,CAF,false
934,2022,championship,Group F,group,false,2022-11-27,Croatia,Canada,CRO,CAN,4,1,A_WIN,,,,,false,(2-1),"Khalifa International Stadium, Al Rayyan",16,38,1621.11,1479,22,142.11,UEFA,CONCACAF,false
935,2022,championship,Group F,group,false,2022-12-01,Croatia,Belgium,CRO,BEL,0,0,DRAW,,,,,false,,"Ahmad bin Ali Stadium, Al Rayyan",16,2,1621.11,1827,-14,-205.89,UEFA,UEFA,true
936,2022,championship,Group F,group,false,2022-12-01,Canada,Morocco,CAN,MAR,1,2,B_WIN,,,,,false,(1-2),"Al Thumama Stadium, Doha",38,24,1479,1551.88,-14,-72.88,CONCACAF,CAF,false
937,2022,championship,Group G,group,false,2022-11-24,Switzerland,Cameroon,SUI,CMR,1,0,A_WIN,,,,,false,(0-0),"Al Janoub Stadium, Al Wakrah",14,37,1635.32,1480.48,23,154.84,UEFA,CAF,false
938,2022,championship,Group G,group,false,2022-11-24,Brazil,Serbia,BRA,SRB,2,0,A_WIN,,,,,false,(0-0),"Lusail Iconic Stadium, Lusail",1,25,1832.69,1547.53,24,285.16,CONMEBOL,UEFA,false
939,2022,championship,Group G,group,false,2022-11-28,Cameroon,Serbia,CMR,SRB,3,3,DRAW,,,,,false,(1-2),"Al Janoub Stadium, Al Wakrah",37,25,1480.48,1547.53,-12,-67.05,CAF,UEFA,false
940,2022,championship,Group G,group,false,2022-11-28,Brazil,Switzerland,BRA,SUI,1,0,A_WIN,,,,,false,(0-0),"Stadium 974, Doha",1,14,1832.69,1635.32,13,197.37,CONMEBOL,UEFA,false
941,2022,championship,Group G,group,false,2022-12-02,Serbia,Switzerland,SRB,SUI,2,3,B_WIN,,,,,false,(2-1),"Stadium 974, Doha",25,14,1547.53,1635.32,-11,-87.79,UEFA,UEFA,true
942,2022,championship,Group G,group,false,2022-12-02,Cameroon,Brazil,CMR,BRA,1,0,A_WIN,,,,,false,(0-0),"Lusail Iconic Stadium, Lusail",37,1,1480.48,1832.69,-36,-352.21,CAF,CONMEBOL,false
943,2022,championship,Group H,group,false,2022-11-24,Uruguay,South Korea,URU,KOR,0,0,DRAW,,,,,false,,"Education City Stadium, Al Rayyan",13,29,1635.73,1519.54,16,116.19,CONMEBOL,AFC,false
